level,picks,hits,multiplier
LOW,7,6,225
LOW,7,7,700
LOW,8,0,0
LOW,8,1,0
LOW,8,2,1.1
LOW,8,3,1.5
LOW,8,4,2
LOW,8,5,5.5
LOW,8,6,39
LOW,8,7,100
LOW,8,8,800
LOW,9,0,0
LOW,9,1,0
LOW,9,2,1.1
LOW,9,3,1.3
LOW,9,4,1.7
LOW,9,5,2.5
LOW,9,6,7.5
LOW,9,7,50
LOW,9,8,250
LOW,9,9,1000
LOW,10,0,0
LOW,10,1,0
LOW,10,2,1.1
LOW,10,3,1.2
LOW,10,4,1.3
LOW,10,5,1.8
LOW,10,6,3.5
LOW,10,7,13
LOW,10,8,50
LOW,10,9,250
LOW,10,10,1000
MEDIUM,1,0,0.4
MEDIUM,1,1,2.75
MEDIUM,2,0,0
MEDIUM,2,1,1.8
MEDIUM,2,2,5.1
MEDIUM,3,0,0
MEDIUM,3,1,0
MEDIUM,3,2,2.8
MEDIUM,3,3,50
MEDIUM,4,0,0
MEDIUM,4,1,0
MEDIUM,4,2,1.7
MEDIUM,4,3,10
MEDIUM,4,4,100
MEDIUM,5,0,0
MEDIUM,5,1,0
MEDIUM,5,2,1.4
MEDIUM,5,3,4
MEDIUM,5,4,14
MEDIUM,5,5,390
MEDIUM,6,0,0
MEDIUM,6,1,0
MEDIUM,6,2,0
MEDIUM,6,3,3
MEDIUM,6,4,9
MEDIUM,6,5,180
MEDIUM,6,6,710
MEDIUM,7,0,0
MEDIUM,7,1,0
MEDIUM,7,2,0
MEDIUM,7,3,2
MEDIUM,7,4,7
MEDIUM,7,5,30
MEDIUM,7,6,400
MEDIUM,7,7,800
MEDIUM,8,0,0
MEDIUM,8,1,0
MEDIUM,8,2,0
MEDIUM,8,3,2
MEDIUM,8,4,4
MEDIUM,8,5,11
MEDIUM,8,6,67
MEDIUM,8,7,400
MEDIUM,8,8,900
MEDIUM,9,0,0
MEDIUM,9,1,0
MEDIUM,9,2,0
MEDIUM,9,3,2
MEDIUM,9,4,2.5
MEDIUM,9,5,5
MEDIUM,9,6,15
MEDIUM,9,7,100
MEDIUM,9,8,500
MEDIUM,9,9,1000
MEDIUM,10,0,0
MEDIUM,10,1,0
MEDIUM,10,2,0
MEDIUM,10,3,1.6
MEDIUM,10,4,2
MEDIUM,10,5,4
MEDIUM,10,6,7
MEDIUM,10,7,26
MEDIUM,10,8,100
MEDIUM,10,9,500
MEDIUM,10,10,1000
HIGH,1,0,0
HIGH,1,1,3.96
HIGH,2,0,0
HIGH,2,1,0
HIGH,2,2,17.1
HIGH,3,0,0
HIGH,3,1,0
HIGH,3,2,0
HIGH,3,3,81.5
HIGH,4,0,0
HIGH,4,1,0
HIGH,4,2,0
HIGH,4,3,10
HIGH,4,4,259
HIGH,5,0,0
HIGH,5,1,0
HIGH,5,2,0
HIGH,5,3,4.5
HIGH,5,4,48
HIGH,5,5,450
HIGH,6,0,0
HIGH,6,1,0
HIGH,6,2,0
HIGH,6,3,0
HIGH,6,4,11
HIGH,6,5,350
HIGH,6,6,710
HIGH,7,0,0
HIGH,7,1,0
HIGH,7,2,0
HIGH,7,3,0
HIGH,7,4,7
HIGH,7,5,90
HIGH,7,6,400
HIGH,7,7,800
HIGH,8,0,0
HIGH,8,1,0
HIGH,8,2,0
HIGH,8,3,0
HIGH,8,4,5
HIGH,8,5,20
HIGH,8,6,270
HIGH,8,7,600
HIGH,8,8,900
HIGH,9,0,0
HIGH,9,1,0
HIGH,9,2,0
HIGH,9,3,0
HIGH,9,4,4
HIGH,9,5,11
HIGH,9,6,56
HIGH,9,7,500
HIGH,9,8,800
HIGH,9,9,1000
HIGH,10,0,0
HIGH,10,1,0
HIGH,10,2,0
HIGH,10,3,0
HIGH,10,4,3.5
HIGH,10,5,8
HIGH,10,6,13
HIGH,10,7,63
HIGH,10,8,500
HIGH,10,9,800
HIGH,10,10,1000
