risk,rows,bucket,multiplier
HIGH,9,1,7
HIGH,9,2,2
HIGH,9,3,0.6
HIGH,9,4,0.2
HIGH,9,5,0.2
HIGH,9,6,0.6
HIGH,9,7,2
HIGH,9,8,7
HIGH,9,9,43
HIGH,10,0,76
HIGH,10,1,10
HIGH,10,2,3
HIGH,10,3,0.9
HIGH,10,4,0.3
HIGH,10,5,0.2
HIGH,10,6,0.3
HIGH,10,7,0.9
HIGH,10,8,3
HIGH,10,9,10
HIGH,10,10,76
HIGH,11,0,120
HIGH,11,1,14
HIGH,11,2,5.2
HIGH,11,3,1.4
HIGH,11,4,0.4
HIGH,11,5,0.2
HIGH,11,6,0.2
HIGH,11,7,0.4
HIGH,11,8,1.4
HIGH,11,9,5.2
HIGH,11,10,14
HIGH,11,11,120
HIGH,12,0,170
HIGH,12,1,24
HIGH,12,2,8.1
HIGH,12,3,2
HIGH,12,4,0.7
HIGH,12,5,0.2
HIGH,12,6,0.2
HIGH,12,7,0.2
HIGH,12,8,0.7
HIGH,12,9,2
HIGH,12,10,8.1
HIGH,12,11,24
HIGH,12,12,170
HIGH,13,0,260
HIGH,13,1,37
HIGH,13,2,11
HIGH,13,3,4
HIGH,13,4,1
HIGH,13,5,0.2
HIGH,13,6,0.2
HIGH,13,7,0.2
HIGH,13,8,0.2
HIGH,13,9,1
HIGH,13,10,4
HIGH,13,11,11
HIGH,13,12,37
HIGH,13,13,260
HIGH,14,0,420
HIGH,14,1,56
HIGH,14,2,18
HIGH,14,3,5
HIGH,14,4,1.9
HIGH,14,5,0.3
HIGH,14,6,0.2
HIGH,14,7,0.2
HIGH,14,8,0.2
HIGH,14,9,0.3
HIGH,14,10,1.9
HIGH,14,11,5
HIGH,14,12,18
HIGH,14,13,56
HIGH,14,14,420
HIGH,15,0,620
HIGH,15,1,83
HIGH,15,2,27
HIGH,15,3,8
HIGH,15,4,3
HIGH,15,5,0.5
HIGH,15,6,0.2
HIGH,15,7,0.2
HIGH,15,8,0.2
HIGH,15,9,0.2
HIGH,15,10,0.5
HIGH,15,11,3
HIGH,15,12,8
HIGH,15,13,27
HIGH,15,14,83
HIGH,15,15,620
HIGH,16,0,1000
HIGH,16,1,130
HIGH,16,2,26
HIGH,16,3,9
HIGH,16,4,4
HIGH,16,5,2
HIGH,16,6,0.2
HIGH,16,7,0.2
HIGH,16,8,0.2
HIGH,16,9,0.2
HIGH,16,10,0.2
HIGH,16,11,2
HIGH,16,12,4
HIGH,16,13,9
HIGH,16,14,26
HIGH,16,15,130
HIGH,16,16,1000
